mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment
0.6305612564086914,0.015535425361480408,0.007616567611694336,0.0022815151792693962,1.0,10.0,0.1,600,1,5,0.1,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.06504779554618183,-0.028193161295536496,-0.030792348325517867,-0.07482245368977948,-0.07110248405006123,-0.053991648581415384,0.02026184096377805,19,B_current_based
0.3636951923370361,0.01129109673615705,0.006068658828735351,0.0013272390202781015,0.85,3.0,0.1,150,8,5,0.08,0.05,1.0,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.08, 'gamma': 0.05, 'colsample_bytree': 1.0}",-0.06063793733042225,-0.023602599682767927,-0.027804843439143807,-0.07753938651033625,-0.07082361375600864,-0.05208167614373578,0.022239546984159735,15,B_current_based
1.3422377109527588,0.03642585296282881,0.008238792419433594,0.0013371809425253367,1.0,1.0,0.01,150,1,5,0.05,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.06640031420136476,-0.02461405951606949,-0.04108676923988343,-0.08270885338440181,-0.08212914617458295,-0.059387828503260486,0.023040644376132794,20,B_current_based
0.3837100028991699,0.008090726138175686,0.009323740005493164,0.0023636939839365594,1.0,10.0,0.01,250,1,2,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.032869030723043806,-0.03391764180367416,-0.031768460218846856,-0.06601336686192846,-0.07123469233540287,-0.047160638388579236,0.017615513624907972,1,B_current_based
1.679877233505249,0.053808273455001325,0.011371517181396484,0.0035443410747521523,0.7,1.0,0.01,250,5,5,0.1,0.0,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.053097429536990225,-0.01963384032046176,-0.03531409281010686,-0.08666531917091766,-0.06879205243672942,-0.052700546855041185,0.02369977084918196,17,B_current_based
3.751457452774048,0.06374950124446951,0.007226800918579102,0.0007272254989987136,0.85,10.0,0.01,600,3,5,0.05,0.0,0.8,"{'subsample': 0.85, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}",-0.04519182381208024,-0.025851404048809753,-0.028894219667420357,-0.07863222917897225,-0.06490911369345424,-0.04869575808014737,0.020422087023950597,7,B_current_based
0.8537737846374511,0.033769853737466146,0.00940704345703125,0.0028592334276736353,0.7,10.0,0.0,250,8,4,0.02,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.05508668069768027,-0.025478101890690486,-0.03046057392837282,-0.07291046621606109,-0.06295585294738631,-0.0493783351360382,0.01843799463297593,9,B_current_based
0.6528048515319824,0.015610084445871166,0.008086776733398438,0.0018167468231160338,0.7,5.0,0.5,400,8,3,0.02,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.5, 'n_estimators': 400, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.05097633431729685,-0.02896813744344969,-0.03225434997299858,-0.0714135268260369,-0.06433085636323049,-0.04958864098460251,0.01685981648899401,10,B_current_based
0.731671667098999,0.03111929511746401,0.007811832427978516,0.0022742197529156886,1.0,10.0,0.01,150,8,4,0.02,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.049038795279358366,-0.028460441140050845,-0.03379608164412572,-0.07791897749262079,-0.06762213511060033,-0.05136728613335121,0.019016335470944366,13,B_current_based
0.6076125621795654,0.06331560904874366,0.0077933788299560545,0.0029316719861886345,0.7,1.0,0.5,600,3,2,0.05,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 1.0}",-0.034947713607485345,-0.033710967335126595,-0.02870627430461803,-0.07107126285701415,-0.06872318660307895,-0.04743188094146461,0.018476505742476314,2,B_current_based
